"Name","Category","Effect","IsMegaStone","MegaPokemon"
"abomasite","mega-stones","Held: Allows Abomasnow to Mega Evolve into Mega Abomasnow.","Yes","abomasnow-mega"
"absolite","mega-stones","Held: Allows Absol to Mega Evolve into Mega Absol.","Yes","absol-mega"
"aerodactylite","mega-stones","Held: Allows Aerodactyl to Mega Evolve into Mega Aerodactyl.","Yes","aerodactyl-mega"
"aggronite","mega-stones","Held: Allows Aggron to Mega Evolve into Mega Aggron.","Yes","aggron-mega"
"alakazite","mega-stones","Held: Allows Alakazam to Mega Evolve into Mega Alakazam.","Yes","alakazam-mega"
"altarianite","mega-stones","Held: Allows Altaria to Mega Evolve into Mega Altaria.","Yes","altaria-mega"
"ampharosite","mega-stones","Held: Allows Ampharos to Mega Evolve into Mega Ampharos.","Yes","ampharos-mega"
"aspear-berry","medicine","Held: Consumed when frozen to cure frozen.","",""
"audinite","mega-stones","Held: Allows Audino to Mega Evolve into Mega Audino.","Yes","audino-mega"
"babiri-berry","type-protection","Held: Consumed when struck by a super-effective Steel-type attack to halve the damage.","",""
"banettite","mega-stones","Held: Allows Banette to Mega Evolve into Mega Banette.","Yes","banette-mega"
"beedrillite","mega-stones","Held: Allows Beedrill to Mega Evolve into Mega Beedrill.","Yes","beedrill-mega"
"black-belt","type-enhancement","Held: Fighting-Type moves from holder do 20% more damage.","",""
"black-glasses","type-enhancement","Held: Dark-Type moves from holder do 20% more damage.","",""
"blastoisinite","mega-stones","Held: Allows Blastoise to Mega Evolve into Mega Blastoise.","Yes","blastoise-mega"
"bright-powder","held-items","Held: Increases the holder’s evasion by 1/9 (11 1/9%).","",""
"cameruptite","mega-stones","Held: Allows Camerupt to Mega Evolve into Mega Camerupt.","Yes","camerupt-mega"
"chandelurite","unknown","","Yes","chandelure-mega"
"charcoal","type-enhancement","Held: Fire-Type moves from holder do 20% more damage.","",""
"charizardite-x","mega-stones","Held: Allows Charizard to Mega Evolve into Mega Charizard X.","Yes","charizard-mega-x"
"charizardite-y","mega-stones","Held: Allows Charizard to Mega Evolve into Mega Charizard Y.","Yes","charizard-mega-y"
"charti-berry","type-protection","Held: Consumed when struck by a super-effective Rock-type attack to halve the damage.","",""
"cheri-berry","medicine","Held: Consumed when paralyzed to cure paralysis.","",""
"chesnaughtite","unknown","","Yes","chesnaught-mega"
"chesto-berry","medicine","Held: Consumed when asleep to cure sleep.","",""
"chilan-berry","type-protection","Held: Consumed when struck by a Normal-type attack to halve the damage.","",""
"chimechite","unknown","","Yes","chimecho-mega"
"choice-scarf","choice","Held: Increases Speed by 50%, but restricts the holder to only one move.","",""
"chople-berry","type-protection","Held: Consumed when struck by a super-effective Fighting-type attack to halve the damage.","",""
"clefablite","unknown","","Yes","clefable-mega"
"coba-berry","type-protection","Held: Consumed when struck by a super-effective Flying-type attack to halve the damage.","",""
"colbur-berry","type-protection","Held: Consumed when struck by a super-effective Dark-type attack to halve the damage.","",""
"crabominite","unknown","","Yes","crabominable-mega"
"delphoxite","unknown","","Yes","delphox-mega"
"dragon-fang","type-enhancement","Held: Dragon-Type moves from holder do 20% more damage.","",""
"dragoninite","unknown","","Yes","dragonite-mega"
"drampanite","unknown","","Yes","drampa-mega"
"emboarite","unknown","","Yes","emboar-mega"
"excadrite","unknown","","Yes","excadrill-mega"
"fairy-feather","held-items","","",""
"feraligite","unknown","","Yes","feraligatr-mega"
"floettite","unknown","","Yes","floette-mega"
"focus-band","held-items","Held: Holder has 10% chance to survive attacks or self-inflicted damage at 1 HP.","",""
"focus-sash","held-items","Held: Holder survives any single-hit attack at 1 HP if at max HP, then the item is consumed.","",""
"froslassite","unknown","","Yes","froslass-mega"
"galladite","mega-stones","Held: Allows Gallade to Mega Evolve into Mega Gallade.","Yes","gallade-mega"
"garchompite","mega-stones","Held: Allows Garchomp to Mega Evolve into Mega Garchomp.","Yes","garchomp-mega"
"gardevoirite","mega-stones","Held: Allows Gardevoir to Mega Evolve into Mega Gardevoir.","Yes","gardevoir-mega"
"gengarite","mega-stones","Held: Allows Gengar to Mega Evolve into Mega Gengar.","Yes","gengar-mega"
"glalitite","mega-stones","Held: Allows Glalie to Mega Evolve into Mega Glalie.","Yes","glalie-mega"
"glimmoranite","unknown","","Yes","glimmora-mega"
"golurkite","unknown","","Yes","golurk-mega"
"greninjite","unknown","","Yes","greninja-mega"
"gyaradosite","mega-stones","Held: Allows Gyarados to Mega Evolve into Mega Gyarados.","Yes","gyarados-mega"
"haban-berry","type-protection","Held: Consumed when struck by a super-effective Dragon-type attack to halve the damage.","",""
"hard-stone","type-enhancement","Held: Rock-Type moves from holder do 20% more damage.","",""
"hawluchanite","unknown","","Yes","hawlucha-mega"
"heracronite","mega-stones","Held: Allows Heracross to Mega Evolve into Mega Heracross.","Yes","heracross-mega"
"houndoominite","mega-stones","Held: Allows Houndoom to Mega Evolve into Mega Houndoom.","Yes","houndoom-mega"
"kangaskhanite","mega-stones","Held: Allows Kangaskhan to Mega Evolve into Mega Kangaskhan.","Yes","kangaskhan-mega"
"kasib-berry","type-protection","Held: Consumed when struck by a super-effective Ghost-type attack to halve the damage.","",""
"kebia-berry","type-protection","Held: Consumed when struck by a super-effective Poison-type attack to halve the damage.","",""
"kings-rock","held-items","Held: Damaging moves gain a 10% chance to make their target flinch. Traded on a Poliwhirl: Holder evolves into Politoed. Traded on a Slowpoke: Holder evolves into Slowking.","",""
"leftovers","held-items","Held: Restores 1/16 (6.25%) holder’s max HP at the end of each turn.","",""
"leppa-berry","medicine","Held: Consumed when a move runs out of PP to restore its PP by 10.","",""
"light-ball","species-specific","Doubles Pikachu’s Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.","",""
"lopunnite","mega-stones","Held: Allows Lopunny to Mega Evolve into Mega Lopunny.","Yes","lopunny-mega"
"lucarionite","mega-stones","Held: Allows Lucario to Mega Evolve into Mega Lucario.","Yes","lucario-mega"
"lum-berry","medicine","Held: Consumed to cure any status condition or confusion.","",""
"magnet","type-enhancement","Held: Electric-Type moves from holder do 20% more damage.","",""
"manectite","mega-stones","Held: Allows Manectric to Mega Evolve into Mega Manectric.","Yes","manectric-mega"
"medichamite","mega-stones","Held: Allows Medicham to Mega Evolve into Mega Medicham.","Yes","medicham-mega"
"meganiumite","unknown","","Yes","meganium-mega"
"mental-herb","held-items","Held: Consumed to cure infatuation. Gen V: Also removes Taunt, Encore, Torment, Disable, and Cursed Body.","",""
"meowsticite","unknown","","Yes","meowstic-mega"
"metal-coat","type-enhancement","Held: Steel-Type moves from holder do 20% more damage.","",""
"miracle-seed","type-enhancement","Held: Grass-Type moves from holder do 20% more damage.","",""
"mystic-water","type-enhancement","Held: Water-Type moves from holder do 20% more damage.","",""
"never-melt-ice","type-enhancement","Held: Ice-Type moves from holder do 20% more damage.","",""
"occa-berry","type-protection","Held: Consumed when struck by a super-effective Fire-type attack to halve the damage.","",""
"oran-berry","medicine","Held: Consumed at 1/2 max HP to recover 10 HP.","",""
"passho-berry","type-protection","Held: Consumed when struck by a super-effective Water-type attack to halve the damage.","",""
"payapa-berry","type-protection","Held: Consumed when struck by a super-effective Psychic-type attack to halve the damage.","",""
"pecha-berry","medicine","Held: Consumed when poisoned to cure poison.","",""
"persim-berry","medicine","Held: Consumed when confused to cure confusion.","",""
"pidgeotite","mega-stones","Held: Allows Pidgeot to Mega Evolve into Mega Pidgeot.","Yes","pidgeot-mega"
"pinsirite","mega-stones","Held: Allows Pinsir to Mega Evolve into Mega Pinsir.","Yes","pinsir-mega"
"poison-barb","type-enhancement","Held: Poison-Type moves from holder do 20% more damage.","",""
"quick-claw","held-items","Held: Holder has a 3/16 (18.75%) chance to move first.","",""
"rawst-berry","medicine","Held: Consumed when burned to cure a burn.","",""
"rindo-berry","type-protection","Held: Consumed when struck by a super-effective Grass-type attack to halve the damage.","",""
"roseli-berry","type-protection","Held: Consumed when struck by a super-effective Fairy-type attack to halve the damage.","",""
"sablenite","mega-stones","Held: Allows Sableye to Mega Evolve into Mega Sableye.","Yes","sableye-mega"
"scizorite","mega-stones","Held: Allows Scizor to Mega Evolve into Mega Scizor.","Yes","scizor-mega"
"scope-lens","held-items","Held: Raises the holder’s critical hit ratio by one stage.","",""
"scovillainite","unknown","","Yes","scovillain-mega"
"sharp-beak","type-enhancement","Held: Flying-Type moves from holder do 20% more damage.","",""
"sharpedonite","mega-stones","Held: Allows Sharpedo to Mega Evolve into Mega Sharpedo.","Yes","sharpedo-mega"
"shell-bell","held-items","Held: Holder receives 1/8 of the damage it deals when attacking.","",""
"shuca-berry","type-protection","Held: Consumed when struck by a super-effective Ground-type attack to halve the damage.","",""
"silk-scarf","type-enhancement","Held: Normal-Type moves from holder do 20% more damage.","",""
"silver-powder","type-enhancement","Held: Bug-Type moves from holder do 20% more damage.","",""
"sitrus-berry","medicine","Held: Consumed at 1/2 max HP to recover 1/4 max HP.","",""
"skarmorite","unknown","","Yes","skarmory-mega"
"slowbronite","mega-stones","Held: Allows Slowbro to Mega Evolve into Mega Slowbro.","Yes","slowbro-mega"
"soft-sand","type-enhancement","Held: Ground-Type moves from holder do 20% more damage.","",""
"spell-tag","type-enhancement","Held: Ghost-Type moves from holder do 20% more damage.","",""
"starminite","unknown","","Yes","starmie-mega"
"steelixite","mega-stones","Held: Allows Steelix to Mega Evolve into Mega Steelix.","Yes","steelix-mega"
"tanga-berry","type-protection","Held: Consumed when struck by a super-effective Bug-type attack to halve the damage.","",""
"twisted-spoon","type-enhancement","Held: Psychic-Type moves from holder do 20% more damage.","",""
"tyranitarite","mega-stones","Held: Allows Tyranitar to Mega Evolve into Mega Tyranitar.","Yes","tyranitar-mega"
"venusaurite","mega-stones","Held: Allows Venusaur to Mega Evolve into Mega Venusaur.","Yes","venusaur-mega"
"victreebelite","unknown","","Yes","victreebel-mega"
"wacan-berry","type-protection","Held: Consumed when struck by a super-effective Electric-type attack to halve the damage.","",""
"white-herb","held-items","Held: Resets all lowered stats to normal at end of turn. Consumed after use.","",""
"yache-berry","type-protection","Held: Consumed when struck by a super-effective Ice-type attack to halve the damage.","",""
