"Name","Type","Category","Power","Accuracy","PP","Priority","Effect","EffectChance","MinHits","MaxHits","Target","Contact","Sound","Punch","Bite","Pulse","Bullet","Slicing","Recoil"
"10-000-000-volt-thunderbolt","electric","special","195","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"absorb","grass","special","20","100","20","0","Drains half the damage inflicted to heal the user.","","","","selected-pokemon","","","","","","","",""
"accelerock","rock","physical","40","100","20","1","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"acid","poison","special","40","100","20","0","Has a $effect_chance% chance to lower the target’s Special Defense by one stage.","10","","","all-opponents","","","","","","","",""
"acid-armor","poison","status","","","20","0","Raises the user’s Defense by two stages.","","","","user","","","","","","","",""
"acid-downpour--physical","poison","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"acid-downpour--special","poison","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"acid-spray","poison","special","40","100","20","0","Lowers the target’s Special Defense by two stages.","100","","","selected-pokemon","","","","","","","",""
"acrobatics","flying","physical","55","100","16","0","Has double power if the user has no held item.","","","","selected-pokemon","","","","","","","",""
"acupressure","normal","status","","","20","0","Raises one of a friendly Pokémon’s stats at random by two stages.","","","","user-or-ally","","","","","","","",""
"aerial-ace","flying","physical","60","","20","0","Never misses.","","","","selected-pokemon","","","","","","","",""
"aeroblast","flying","special","100","95","8","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"after-you","normal","status","","","16","0","Makes the target act next this turn.","","","","selected-pokemon","","","","","","","",""
"agility","psychic","status","","","20","0","Raises the user’s Speed by two stages.","","","","user","","","","","","","",""
"air-cutter","flying","special","60","95","20","0","Has an increased chance for a critical hit.","","","","all-opponents","","","","","","","",""
"air-slash","flying","special","75","95","16","0","Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"all-out-pummeling--special","fighting","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"all-out-pummeling--physical","fighting","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"alluring-voice","fairy","special","80","100","12","0","","","","","selected-pokemon","","","","","","","",""
"ally-switch","psychic","status","","","16","2","User switches places with the friendly Pokémon opposite it.","","","","user","","","","","","","",""
"amnesia","psychic","status","","","20","0","Raises the user’s Special Defense by two stages.","","","","user","","","","","","","",""
"anchor-shot","steel","physical","80","100","20","0","Traps the target.","","","","selected-pokemon","","","","","","","",""
"ancient-power","rock","special","60","100","8","0","Has a $effect_chance% chance to raise all of the user’s stats by one stage.","10","","","selected-pokemon","","","","","","","",""
"apple-acid","grass","special","90","100","12","0","","100","","","selected-pokemon","","","","","","","",""
"aqua-cutter","water","physical","70","100","20","0","","","","","selected-pokemon","","","","","","","",""
"aqua-jet","water","physical","40","100","20","1","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
