"DexNumber","Name","Form","Type1","Type2","HP","Attack","Defense","SpAttack","SpDefense","Speed","Ability1","Ability2","HiddenAbility","Weight","Height","ApiId","Moves"
"3","venusaur","","grass","poison","80","82","83","100","100","80","overgrow","chlorophyll","","1000","20","3","sludge-bomb,protect,sleep-powder,leaf-storm,earth-power,energy-ball,leech-seed,acid-spray,giga-drain,amnesia,body-slam,bulldoze,bullet-seed,charm,curse,double-edge,earthquake,endure,facade,frenzy-plant,giga-impact,grass-knot,grassy-glide,grassy-terrain,growth,helping-hand,hyper-beam,ingrain,knock-off,light-screen,outrage,petal-blizzard,petal-dance,poison-jab,poison-powder,power-whip,rest,round,scary-face,seed-bomb,sleep-talk,sludge-wave,snore,solar-beam,stomping-tantrum,substitute,sunny-day,sweet-scent,swords-dance,synthesis,terrain-pulse,toxic,trailblaze,venoshock,weather-ball,worry-seed"
"6","charizard","","fire","flying","78","84","78","109","85","100","blaze","solar-power","","905","17","6","protect,heat-wave,solar-beam,weather-ball,overheat,air-slash,breaking-swipe,dragon-claw,dragon-dance,dragon-pulse,flamethrower,flare-blitz,acrobatics,aerial-ace,air-cutter,ancient-power,beat-up,belly-drum,bite,blast-burn,body-slam,brick-break,brutal-swing,bulldoze,counter,crunch,dig,double-edge,dragon-cheer,dragon-rush,dragon-tail,earthquake,endure,facade,fire-blast,fire-fang,fire-punch,fire-spin,flame-charge,fling,fly,focus-blast,focus-punch,giga-impact,heat-crash,helping-hand,hurricane,hyper-beam,inferno,iron-tail,mega-kick,outrage,rest,roar,rock-slide,rock-tomb,roost,round,sandstorm,scale-shot,scary-face,scorching-sands,shadow-claw,sleep-talk,snore,steel-wing,substitute,sunny-day,swords-dance,temper-flare,thunder-punch,will-o-wisp"
"9","blastoise","","water","","79","83","100","85","105","78","torrent","rain-dish","","855","16","9","aqua-jet,aqua-ring,aqua-tail,aura-sphere,avalanche,bite,blizzard,body-press,body-slam,brick-break,bulldoze,chilling-water,crunch,dark-pulse,dig,dive,double-edge,dragon-pulse,earthquake,endure,facade,fake-out,flail,flash-cannon,fling,flip-turn,focus-blast,focus-punch,giga-impact,gyro-ball,haze,helping-hand,hydro-cannon,hydro-pump,hyper-beam,ice-beam,ice-punch,ice-spinner,iron-defense,iron-head,iron-tail,life-dew,liquidation,mega-kick,mirror-coat,mud-shot,muddy-water,outrage,protect,rain-dance,rapid-spin,rest,roar,rock-slide,rock-tomb,round,scary-face,shell-smash,sleep-talk,smack-down,snore,substitute,surf,terrain-pulse,water-pulse,water-spout,waterfall,wave-crash,weather-ball,whirlpool,yawn,zen-headbutt"
"15","beedrill","","bug","poison","65","90","40","45","80","75","swarm","sniper","","295","10","15","acrobatics,aerial-ace,agility,air-cutter,assurance,attract,baton-pass,brick-break,brutal-swing,bug-bite,bug-buzz,cross-poison,double-hit,double-edge,drill-run,dual-wingbeat,electroweb,endeavor,endure,facade,fell-stinger,focus-energy,giga-drain,giga-impact,hyper-beam,iron-defense,knock-off,lunge,payback,pin-missile,poison-jab,pollen-puff,pounce,protect,rest,round,screech,skitter-smack,sleep-talk,sludge-bomb,snore,solar-beam,string-shot,substitute,sunny-day,swords-dance,thief,throat-chop,toxic,toxic-spikes,u-turn,venoshock,x-scissor"
"18","pidgeot","","normal","flying","83","80","75","70","70","101","keen-eye","tangled-feet","big-pecks","395","15","18","aerial-ace,agility,air-slash,attract,brave-bird,dual-wingbeat,endure,facade,feather-dance,fly,giga-impact,heat-wave,hurricane,hyper-beam,protect,quick-attack,rain-dance,rest,roost,round,sky-attack,sleep-talk,snore,steel-wing,substitute,sunny-day,tailwind,thief,u-turn,uproar,whirlwind"
"24","arbok","","poison","","60","95","69","65","79","80","intimidate","shed-skin","unnerve","650","35","24","acid-spray,beat-up,belch,bite,body-slam,breaking-swipe,brutal-swing,bulldoze,coil,crunch,dark-pulse,dig,double-edge,dragon-tail,earthquake,endure,facade,fire-fang,gastro-acid,giga-drain,giga-impact,glare,gunk-shot,haze,hyper-beam,ice-fang,iron-tail,knock-off,lash-out,leech-life,mud-shot,mud-slap,pain-split,payback,poison-fang,poison-jab,protect,psychic-fangs,rain-dance,rest,rock-slide,rock-tomb,round,scale-shot,scary-face,screech,seed-bomb,skitter-smack,sleep-talk,sludge-bomb,sludge-wave,snarl,snore,spit-up,spite,stockpile,stomping-tantrum,substitute,sucker-punch,sunny-day,swallow,switcheroo,thief,throat-chop,thunder-fang,toxic,toxic-spikes,trailblaze,venoshock,wrap"
"25","pikachu","","electric","","35","55","40","50","50","90","static","lightning-rod","","60","4","25","agility,alluring-voice,body-slam,brick-break,charge,charge-beam,charm,dig,discharge,double-team,draining-kiss,eerie-impulse,electric-terrain,electro-ball,electroweb,encore,endeavor,endure,facade,fake-out,fake-tears,feint,flail,fling,focus-punch,grass-knot,helping-hand,iron-tail,knock-off,light-screen,mega-kick,nasty-plot,nuzzle,play-rough,protect,quick-attack,rain-dance,reflect,rest,reversal,rising-voltage,round,sleep-talk,snore,substitute,surf,sweet-kiss,thief,thunder,thunder-punch,thunder-wave,thunderbolt,tickle,trailblaze,upper-hand,volt-switch,volt-tackle,wild-charge,wish,zap-cannon"
"26","raichu","","electric","","60","90","55","90","80","110","static","lightning-rod","","300","8","26","electroweb,encore,fake-out,fake-tears,agility,alluring-voice,body-slam,brick-break,brutal-swing,charge,charge-beam,charm,dazzling-gleam,dig,discharge,double-team,drain-punch,draining-kiss,eerie-impulse,electric-terrain,electro-ball,endeavor,endure,facade,feint,flail,fling,focus-blast,focus-punch,giga-impact,grass-knot,helping-hand,hyper-beam,iron-tail,knock-off,light-screen,mega-kick,nasty-plot,nuzzle,play-rough,protect,quick-attack,rain-dance,reflect,rest,reversal,rising-voltage,round,sleep-talk,snore,substitute,surf,sweet-kiss,thief,thunder,thunder-punch,thunder-wave,thunderbolt,tickle,trailblaze,upper-hand,volt-switch,volt-tackle,wild-charge,wish,zap-cannon"
"26","raichu-alola","alola","electric","psychic","60","85","50","95","85","110","surge-surfer","","","210","7","10100","agility,alluring-voice,body-slam,brick-break,calm-mind,charge,charge-beam,charm,dazzling-gleam,dig,discharge,double-team,draining-kiss,eerie-impulse,electric-terrain,electro-ball,electroweb,encore,endeavor,endure,expanding-force,facade,fake-out,fake-tears,feint,flail,fling,focus-blast,focus-punch,giga-impact,grass-knot,helping-hand,hyper-beam,iron-tail,knock-off,light-screen,magic-room,mega-kick,nasty-plot,nuzzle,play-rough,protect,psychic,psychic-noise,psyshock,quick-attack,rain-dance,reflect,rest,reversal,rising-voltage,round,skill-swap,sleep-talk,snore,speed-swap,stored-power,substitute,surf,sweet-kiss,thief,thunder,thunder-punch,thunder-wave,thunderbolt,tickle,trailblaze,upper-hand,volt-switch,volt-tackle,wild-charge,wish,zap-cannon"
"36","clefable","","fairy","","95","70","73","95","90","60","cute-charm","magic-guard","unaware","400","13","36","follow-me,moonblast,helping-hand,protect,icy-wind,life-dew,after-you,air-slash,alluring-voice,amnesia,baton-pass,blizzard,body-slam,bounce,brick-break,calm-mind,charge-beam,charm,chilling-water,copycat,cosmic-power,dazzling-gleam,dig,double-edge,drain-punch,draining-kiss,dual-wingbeat,encore,endeavor,endure,facade,fake-tears,fire-blast,fire-punch,flamethrower,fling,focus-blast,focus-punch,future-sight,giga-impact,grass-knot,gravity,heal-pulse,hyper-beam,hyper-voice,ice-beam,ice-punch,imprison,knock-off,light-screen,meteor-beam,meteor-mash,misty-explosion,misty-terrain,moonlight,mystical-fire,night-shade,play-rough,psych-up,psychic,psyshock,rain-dance,reflect,rest,round,safeguard,shadow-ball,sing,skill-swap,sleep-talk,snore,solar-beam,stealth-rock,stored-power,substitute,sunny-day,sweet-kiss,thief,thunder,thunder-punch,thunder-wave,thunderbolt,tickle,tri-attack,trick,uproar,water-pulse,wish,wonder-room,zen-headbutt"
